ref,name,classification
1,Chancellor's,University Buildings
2,24 Hour Security (Darwin),Enquiries
2,Darwin,University Buildings
3,Sports Centre,University Buildings
4,William Emmes,University Buildings
5,Tawney,University Buildings
6,Walter Moberly,University Buildings
7,Chapel,University Buildings
8,Students' Union,University Buildings
9,KPA Club House,University Buildings
10,Claus Moser,University Buildings
11,Library & IT Services,University Buildings
12,Keele Hall,University Buildings
13,Central Science Laboratories (CSL),University Buildings
14,Clock House,University Buildings
15,William Smith,University Buildings
16,Huxley,University Buildings
17,Lennard-Jones Laboratories,University Buildings
18,Dorothy Hodgkin,University Buildings
19,Hornbeam,University Buildings
21,Science Learning Centre,University Buildings
22,Jack Ashley,University Buildings
23,University Postroom (Media),Enquiries
23,Media,University Buildings
24,Colin Reeves,University Buildings
25,Mackay,University Buildings
26,IC7 (Innovation Centre 7),Science Park
27,The Covert,University Buildings
28,MEDIC3 (Innovation Centre 3),Science Park
29,IC2 (Innovation Centre 2),Science Park
30,IC1 (Innovation Centre 1),Science Park
31,Stephenson (Cobra),Science Park
32,Nursery,University Buildings
33,Health Centre,University Buildings
34,Holly Cross,Student Residence
35,The Oaks,Student Residence
36,Barnes Hall,Student Residence
37,Horwood Hall,Student Residence
38,MEDIC4 (Innovation Centre 4),Science Park
39,Nova Centre,Science Park
40,Sustainability Hub / Home Farm,University Buildings
40,Home Farm - Sustainability Hub,Science Park
41,Lindsay Hall,Student Residence
42,Observatory (Space),University Buildings
43,Alliance Medical,Science Park
44,David Weatherhall,University Buildings
46,Islamic Centre,University Buildings
47,IC5 (Innovation Centre 5),Science Park
48,Caudwell Children,Science Park
49,Harper Keele Veterinary School,University Buildings
50,David Attenborough Laboratories,University Buildings
51,University Reception,Enquiries
51,Keele Business School (KBS),University Buildings
51,IC6 (Innovation Centre 6),Science Park
20A,Bungalow 77,University Buildings
20B,Bungalow 78,University Buildings
8A,Shops / Post Office / Pharmacy,University Buildings
M,Courtyard by Marriot Hotel,University Buildings
